item_name,item_category,item_detail_url,item_price,item_store,item_create_date,item_thumb_upvotes,item_n_comments
Kobalt 24-volt Variable Speed Brushless 3/8-in Drive Cordless Ratchet Wrench (Bare Tool) in Blue | KRW 224B-03 $79,auto,https://slickdeals.net/f/17256202-kobalt-24-volt-variable-speed-brushless-3-8-in-drive-cordless-ratchet-wrench-bare-tool-in-blue-krw-224b-03-79,79,Lowe's ,2024-01-25,2,1
"AVAPOW Car Jump Starter, 4000A Peak Battery Jump Starter (Yellow) $70",auto,https://slickdeals.net/f/17257117-avapow-car-jump-starter-4000a-peak-battery-jump-starter-yellow-70,70,Walmart ,2024-01-26,0,0
6x9 Kenwood Elliptic KFCS6966 3-Way Car Speakers $33 + Free Shipping w/ Prime or on $35+,auto,https://slickdeals.net/f/17255731-6x9-kenwood-elliptic-kfcs6966-3-way-car-speakers-33-free-shipping-w-prime-or-on-35,33,Amazon ,2024-01-25,3,2
Rockford Fosgate R600X5 Prime 5-Channel Amplifier $348.49 + Free Shipping,auto,https://slickdeals.net/f/17255500-rockford-fosgate-r600x5-prime-5-channel-amplifier-348-49-free-shipping,348.49,Amazon ,2024-01-25,4,2
"Valvoline BUY ONE, GET ONE 50% OFF MOTOR OIL PRODUCTS",auto,https://slickdeals.net/f/17255296-valvoline-buy-one-get-one-50-off-motor-oil-products,,,2024-01-25,0,9
Hyundai Ioniq 5 SEL Trim in Anaheim lease for $199/month for qualified customer - $199 with $4k down,auto,https://slickdeals.net/f/17255785-hyundai-ioniq-5-sel-trim-in-anaheim-lease-for-199-month-for-qualified-customer-199-with-4k-down,,,2024-01-25,0,65
"Ironton Combination Pliers Set — 5-Pc. for $4.99, with free store to store shipping.",auto,https://slickdeals.net/f/17254942-ironton-combination-pliers-set-5-pc-for-4-99-with-free-store-to-store-shipping,4.99,Northern Tool ,2024-01-25,1,2
Prime Members: FOXWELL NT301 OBD2 Scanner for Check Engine Light - $47.24 + FS,auto,https://slickdeals.net/f/17255266-prime-members-foxwell-nt301-obd2-scanner-for-check-engine-light-47-24-fs,47.24,Amazon ,2024-01-25,0,0
"Castrol Edge High Mileage 5W-20 5qts Advanced Full Synthetic Motor Oil, Amazon S&S - $24.68",auto,https://slickdeals.net/f/17253211-castrol-edge-high-mileage-5w-20-5qts-advanced-full-synthetic-motor-oil-amazon-s-s-24-68,24.68,Amazon ,2024-01-24,2,7
HyLoft Tire-Loft Multi Tire Storage System - $54.99 - Free shipping for Prime members,auto,https://slickdeals.net/f/17254462-hyloft-tire-loft-multi-tire-storage-system-54-99-free-shipping-for-prime-members,54.99,Woot! ,2024-01-25,1,1
20% and more discount for premium brand tires Promo.,auto,https://slickdeals.net/f/17252554-20-and-more-discount-for-premium-brand-tires-promo,,SimpleTire ,2024-01-24,1,1
Hondata FlashPro Car Tuning Tool (Honda or Acura),auto,https://slickdeals.net/f/17252188-hondata-flashpro-sale,695,,2024-01-24,46,66
"7 piece Platinum Series Complete Car Wash Tool Kit, $13, FS for Walmart + or on orders $35+",auto,https://slickdeals.net/f/17251720-7-piece-platinum-series-complete-car-wash-tool-kit-13-fs-for-walmart-or-on-orders-35,13,Walmart ,2024-01-23,2,0
This Weekend Harbor Freight Giant Liquidation Sale with 30% off clearance (40% for ITC Members) - In Store,auto,https://slickdeals.net/f/17250577-this-weekend-harbor-freight-giant-liquidation-sale-with-30-off-clearance-40-for-itc-members-in-store,,Harbor Freight ,2024-01-23,45,53
Sun Joe 4V 2-Gal. Cordless All-Purpose Chemical Sprayer,auto,https://slickdeals.net/f/17250970-sun-joe-4v-2-gal-cordless-all-purpose-chemical-sprayer-29,29,Walmart ,2024-01-24,33,23
Aqua Joe Quick Connect 2-in-1 Hose-Powered Adjustable Foam Car Wash Sprayer & Foamer Cannon $8.97 + Free S&H w/ Walmart+ or $35+,auto,https://slickdeals.net/f/17249254-aqua-joe-quick-connect-2-in-1-hose-powered-adjustable-foam-car-wash-sprayer-foamer-cannon-8-97-free-s-h-w-walmart-or-35,8.97,Walmart ,2024-01-22,11,11
10-Piece Armor All Holiday Car Cleaning Kit,auto,https://slickdeals.net/f/17249215-10-piece-armor-all-holiday-car-cleaning-kit-holiday-gift-set-15-free-shipping-for-walmart-or-on-orders-35,15,Walmart ,2024-01-22,54,34
Upcoming: Costco Wholesale Members: In-Warehouse & Online Savings: See Thread,auto,https://slickdeals.net/f/17249146-upcoming-costco-wholesale-members-in-warehouse-online-savings-see-thread-for-pricing-valid-1-31-2-25,,Costco Wholesale ,2024-01-23,88,104
Costco Members: 10-Qt Kirkland Signature Full Synthetic Motor Oil,auto,https://slickdeals.net/f/17248045-10-qt-kirkland-signature-full-synthetic-motor-oil-31-99-33-99-for-non-members,31.99,Costco Wholesale ,2024-01-23,176,214
Amazon: PRO BIKE TOOL 3/8 Inch Drive Click Torque Wrench Set - 10-60 Nm $63,auto,https://slickdeals.net/f/17249782-amazon-pro-bike-tool-3-8-inch-drive-click-torque-wrench-set-10-60-nm-63,63,Amazon ,2024-01-22,0,3
"simpletire.com AMEX offer (YMMV) $50 off $300 purchase, expires 1/24!",auto,https://slickdeals.net/f/17248261-simpletire-com-amex-offer-ymmv-50-off-300-purchase-expires-1-24,,,2024-01-22,0,0
"12"" Focal Access Series Single Coil 4-ohm Subwoofer (30-A4)  $165 + Free Shipping",auto,https://slickdeals.net/f/17248585-12-focal-access-series-single-coil-4-ohm-subwoofer-30-a4-165-free-shipping,165,ABT Electronics ,2024-01-22,1,1
Fluke 323 Clamp Meter for AC to 400 A & AC/DC Voltage to 600 V,auto,https://slickdeals.net/f/17247130-fluke-323-118-39-at-amazon,118.39,Amazon ,2024-01-21,26,31
VIOFO VS1 Mini Dashcam w/ 32GB card - $104.49,auto,https://slickdeals.net/f/17246884-viofo-vs1-mini-dashcam-w-32gb-card-104-49,104.49,VIOFO Ltd ,2024-01-21,2,3
200W JL Audio XD200/2v2 2-Channel Car Amplifier $200 + Free Shipping,auto,https://slickdeals.net/f/17246929-200w-jl-audio-xd200-2v2-2-channel-car-amplifier-200-free-shipping,200,Sonic Electronix ,2024-01-21,5,2
