item_name,item_store,item_detail_url,item_update_dt,item_price,item_rating_stats,item_rating_thumbs,item_n_views,item_n_comments
4-Pack 3.4-Oz Sensodyne Pronamel Intensive Enamel Repair Toothpaste $16.25 ($4.05 each) w/ S&S + Free Shipping w/ Prime, Amazon ,https://slickdeals.net/f/17255545-4-pack-3-4-oz-sensodyne-pronamel-intensive-enamel-repair-toothpaste-16-25-4-05-each-w-s-s-free-shipping-w-prime,2024-01-25,16.25,6,3,886,2
Hoover Wind Tunnel XL Pet Bagless Upright Vacuum $59 + Free Shipping, Walmart ,https://slickdeals.net/f/17256115-hoover-wind-tunnel-xl-pet-bagless-upright-vacuum-59-free-shipping,2024-01-25,59.00,4,2,624,0
"Two Rivers Coffee Flavored Coffee Pods Compatible with Keurig K Cup Brewers, Assorted Variety Pack Flavored Coffee, 40 Count $17.77", Amazon ,https://slickdeals.net/f/17256760-two-rivers-coffee-flavored-coffee-pods-compatible-with-keurig-k-cup-brewers-assorted-variety-pack-flavored-coffee-40-count-17-77,2024-01-26,17.77,8,3,856,3
Jockey Men's Casualwear Mesh Vent Polo (Various Colors) $9.99 + Free Shipping, Amazon ,https://slickdeals.net/f/17254048-jockey-men-s-casualwear-mesh-vent-polo-various-colors-9-99-free-shipping,2024-01-24,9.99,4,2,2191,0
"Brutus & Barnaby Dog Food Topper: 8-Oz (Super Food) $2.40, 16-Oz (Super Food) $5.20, 3-Oz Freeze Dried (Raw Elk & Probiotics) $3.40 & More w/ S&S + FS w/ Prime or on $35+", Amazon ,https://slickdeals.net/f/17255677-brutus-barnaby-dog-food-topper-8-oz-super-food-2-40-16-oz-super-food-5-20-3-oz-freeze-dried-raw-elk-probiotics-3-40-more-w-s-s-fs-w-prime-or-on-35,2024-01-25,2.40,10,4,2081,11
Samsung Galaxy S24 Ultra Case with HD Screen Protector $5.38 at BOYOSS via Amazon, Amazon ,https://slickdeals.net/f/17256049-samsung-galaxy-s24-ultra-case-with-hd-screen-protector-5-38-at-boyoss-via-amazon,2024-01-25,5.38,11,4,2723,10
12-Count Fulfil Vitamin & Protein Snack Sized Bars w/ 15g Protein (Various Flavors) from $13.49 w/ S&S + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17256178-12-count-fulfil-vitamin-protein-snack-sized-bars-w-15g-protein-various-flavors-from-13-49-w-s-s-free-shipping-w-prime-or-on-35,2024-01-25,13.49,7,3,1141,0
2-Pack 4-Oz Sensodyne Fresh Mint Sensitive Toothpaste $7.50 ($3.75 each) w/ S&S + Free Shipping w/ Prime, Amazon ,https://slickdeals.net/f/17255596-2-pack-4-oz-sensodyne-fresh-mint-sensitive-toothpaste-7-50-3-75-each-w-s-s-free-shipping-w-prime,2024-01-25,7.50,9,3,1460,2
Storz & Bickel Venty Vaporizer $359 and Free Shipping $359.18,  ,https://slickdeals.net/f/17255200-storz-bickel-venty-vaporizer-359-and-free-shipping-359-18,2024-01-25,359.18,15,5,2549,27
$17.96: 60-Piece Makita Impact XPS Alloy Steel Impact Bit Set, Amazon ,https://slickdeals.net/f/17256667-17-96-60-piece-makita-impact-xps-alloy-steel-impact-bit-set,2024-01-26,17.96,13,4,2171,3
"Girls' Baby & Toddler Sandals: Columbia Techsun Wave Toddler Sandals $9, Elli by Capelli Glitter Denim Flip Flops $3.45 & More + F/S on $49+", Kohl's ,https://slickdeals.net/f/17252773-girls-baby-toddler-sandals-columbia-techsun-wave-toddler-sandals-9-elli-by-capelli-glitter-denim-flip-flops-3-45-more-f-s-on-49,2024-01-24,9.00,3,1,3880,0
Costco House Blend Whole Bean Coffee $10.99 for 2.5 lbs ($4.40/lb or $0.27/oz), Costco Wholesale ,https://slickdeals.net/f/17252731-costco-house-blend-whole-bean-coffee-10-99-for-2-5-lbs-4-40-lb-or-0-27-oz,2024-01-24,10.99,9,3,9102,62
3-Pack Jockey Men's Underwear Organic Cotton Stretch Brief (Winter Blue/Aged Spruce/Deep Plum) $17.99 + Free Shipping, Amazon ,https://slickdeals.net/f/17256226-3-pack-jockey-men-s-underwear-organic-cotton-stretch-brief-winter-blue-aged-spruce-deep-plum-17-99-free-shipping,2024-01-25,17.99,7,3,1648,3
"24"" Kreg Rip-Cut Aluminum Circular Saw Guide (KMA2685) $40 + Free Shipping", Amazon ,https://slickdeals.net/f/17254963-24-kreg-rip-cut-aluminum-circular-saw-guide-kma2685-40-free-shipping,2024-01-25,40.00,3,1,3522,8
Lowe’s 28 piece 12 point combo  plus short wrenches - $9.98, Lowe's ,https://slickdeals.net/f/17256094-lowe-s-28-piece-12-point-combo-plus-short-wrenches-9-98,2024-01-25,9.98,8,3,5347,10
TP-Link Archer AX11000 12-Stream Tri-Band Wi-Fi 6 Gaming Router (Refurbished) $159.99, eBay ,https://slickdeals.net/f/17254690-tp-link-archer-ax11000-12-stream-tri-band-wi-fi-6-gaming-router-refurbished-159-99,2024-01-25,159.99,9,3,2509,6
"18TB Seagate Exos X18 3.5"" -  $259.99 Newegg", Newegg ,https://slickdeals.net/f/17253982-18tb-seagate-exos-x18-3-5-259-99-newegg,2024-01-24,259.99,8,3,1943,6
"Bauducco Peanut Butter Wafers - Crispy Wafer Cookies With 3 Delicious, Indulgent Decadent Layers of Peanut Butter Flavored Cream - 5.0 oz Pack of 1 $0.99", Amazon ,https://slickdeals.net/f/17256310-bauducco-peanut-butter-wafers-crispy-wafer-cookies-with-3-delicious-indulgent-decadent-layers-of-peanut-butter-flavored-cream-5-0-oz-pack-of-1-0-99,2024-01-25,0.99,10,4,1749,5
"$26.09 /w S&S: Cottonelle Ultra Comfort Toilet Paper, 2-Ply, 32 Rolls", Amazon ,https://slickdeals.net/f/17255983-26-09-w-s-s-cottonelle-ultra-comfort-toilet-paper-2-ply-32-rolls,2024-01-25,26.09,8,3,1798,1
$4.37 /w S&S: 6-Count Theraflu Multi-Symptom Severe Cold Medicine Powder Packets, Amazon ,https://slickdeals.net/f/17256715-4-37-w-s-s-6-count-theraflu-multi-symptom-severe-cold-medicine-powder-packets,2024-01-26,4.37,11,4,1650,6
Oakley Standard & Polarized Lens Sunglasses: Oakley Crankshaft Polarized $48.95 & More + Free Shipping, Field Supply ,https://slickdeals.net/f/17253817-oakley-standard-polarized-lens-sunglasses-oakley-crankshaft-polarized-48-95-more-free-shipping,2024-01-24,48.95,7,3,5102,6
